event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,deta,dphi,deltar,matches
33725,-211,2.1538987,2.3497393,1,2,16.01452,82.87201,-1.0,12.388673,2.3439622,2.1597915,49,17,1,42,0.029197384,0.030991796,43.726852,0.005761991,0.0034806428,-0.0057771206,0.005892753601074219,0.008252252308882244,True
33728,211,1.243186,-2.527063,2,2,55.708344,348.15845,-1.0,63.41852,-2.5325837,1.2440667,52,28,1,29,0.021202138,0.016786715,12.1569,0.0033586998,0.0025610365,-0.0055208206,0.0008807182312011719,0.005590628228189513,True
33737,211,-1.946704,2.0993521,2,2,79.61633,337.1508,-1.0,68.56566,2.0988073,-1.9473718,46,32,1,29,0.02892733,0.024168916,27.893057,0.007402117,0.0032979266,-0.00054478645,0.0006678104400634766,0.00086183702838721,True
33748,-211,-2.3246694,2.126849,1,2,80.79402,343.47845,-1.0,95.984215,2.132007,-2.3182645,46,32,1,29,0.032083977,0.020323472,29.095554,0.007823997,0.0027020327,0.0051579475,0.006404876708984375,0.008223555694359367,True
33752,-211,-1.8849217,2.9740999,1,2,79.55586,776.11127,-1.0,71.65745,2.9543524,-1.9077142,52,35,1,32,0.03046003,0.024592837,20.122908,0.0032777453,0.001999298,-0.019747496,0.022792577743530273,0.03015734060497838,True
33752,211,1.2520754,-2.9626284,2,2,79.55586,776.11127,-1.0,47.53368,-2.9533775,1.2368631,52,36,1,29,0.027178986,0.03058881,26.754257,0.0029367039,0.0024010215,0.009250879,0.015212297439575195,0.017804290469160378,True
33753,-211,-0.5227877,2.7640278,1,2,33.588654,275.89606,-1.0,21.656109,2.7844472,-0.5385382,50,14,1,13,0.050438233,0.009938101,26.866474,0.006100869,0.0038458523,0.02041936,0.015750527381896973,0.02578816294705811,True
33753,211,2.6056385,-2.8275304,2,2,33.588654,275.89606,-1.0,47.363125,-2.8318322,2.6010265,52,31,1,33,0.057677682,0.036226656,32.164543,0.0067448127,0.0034885053,-0.0043017864,0.004611968994140625,0.006306791960069574,True
33756,-211,1.8565857,2.8549805,1,2,17.914091,158.04948,-1.0,12.870356,2.8726962,1.865304,48,15,1,33,0.04035298,0.016046206,24.944733,0.0045144446,0.0035346912,0.017715693,0.008718252182006836,0.01974471258956349,True
33758,-211,-3.1158445,2.0037131,1,2,45.00523,169.33902,-1.0,45.94442,1.999859,-3.1178846,48,34,1,27,0.031500395,0.026160695,20.83846,0.009130573,0.0034325777,-0.0038541555,0.0020401477813720703,0.004360816207938659,True
33758,211,0.0037151382,-1.996591,2,2,45.00523,169.33902,-1.0,43.981655,-1.9983952,-0.0021451751,43,29,1,29,0.042864874,0.035507914,22.88691,0.012242327,0.003320794,-0.0018042326,0.005860313307493925,0.006131763801152466,True
33760,-211,-2.9461303,1.6779264,1,2,15.624809,43.284996,-1.0,17.480978,1.6809497,-2.959643,46,32,1,19,0.023602054,0.030789934,39.456512,0.009559974,0.002682115,0.0030232668,0.013512611389160156,0.01384668946327624,True
